cell,configuration,mois,date_rebalance,portfolio,ticker,weight,recommendation,predicted_return,conviction_score,score_opt,liquidity_vmq_20j,L_sigmoid,held,sell_mode,eligible_vmq,n_candidates,n_positions,expected_alpha_raw,cvar_95,liquidity_L_weighted,status,portfolio_ret_month,turnover,liquidite_ponderee,n_titres,ret_holding,contribution,eligible,min_vmq_threshold,protocol_window
1,C1 Ridge,2024-04,2024-04-30,P_selected,AKT,0.22087318451285434,BUY,0.41333023583106016,0.41333023583106016,0.41333023583106016,11312012.120000001,1.0,1,exclude,1,34,30,0.417556,0.010116,0.9975,ok,0.00440110348954037,0.9783585866557365,0.9998564011297354,30,-0.06388888888888888,-0.014111342343876804,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-04,2024-04-30,P_selected,CFG,0.13187323082790794,NEUTRAL,0.07766123406031993,0.07766123406031993,0.03883061703015996,4652391.455,1.0,1,exclude,1,34,30,0.417556,0.010116,0.9975,ok,0.00440110348954037,0.9783585866557365,0.9998564011297354,30,0.06721854304635766,0.00886432644306799,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-04,2024-04-30,P_selected,IMO,0.1269502036530294,BUY,0.2691753395518992,0.2691753395518992,0.2691753395518992,524083.61100000003,0.9876946294827621,1,exclude,1,34,30,0.417556,0.010116,0.9975,ok,0.00440110348954037,0.9783585866557365,0.9998564011297354,30,0.035490830636461634,0.0045055681771139795,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-04,2024-04-30,P_selected,JET,0.09375260284267982,BUY,1.044679170057889,1.044679170057889,1.044679170057889,7520058.69,1.0,1,exclude,1,34,30,0.417556,0.010116,0.9975,ok,0.00440110348954037,0.9783585866557365,0.9998564011297354,30,-0.0984126984126984,-0.009226446628962139,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-04,2024-04-30,P_selected,FBR,0.09367662515745556,BUY,0.3436755135805061,0.3436755135805061,0.3436755135805061,541356.7455,0.9906381640699479,1,exclude,1,34,30,0.417556,0.010116,0.9975,ok,0.00440110348954037,0.9783585866557365,0.9998564011297354,30,0.04469026548672561,0.0041864332481871686,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-04,2024-04-30,P_selected,ADI,0.07502675032156385,BUY,0.8848033277956047,0.8848033277956047,0.8848033277956047,40987828.1325,1.0,1,exclude,1,34,30,0.417556,0.010116,0.9975,ok,0.00440110348954037,0.9783585866557365,0.9998564011297354,30,0.0376958915713681,0.0028282002450737776,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-04,2024-04-30,P_selected,DYT,0.06536124299646576,BUY,0.6700216285358811,0.6700216285358811,0.6700216285358811,2030098.7274999998,0.9999999999995728,1,exclude,1,34,30,0.417556,0.010116,0.9975,ok,0.00440110348954037,0.9783585866557365,0.9998564011297354,30,0.00989699050696835,0.0006468796014596731,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-04,2024-04-30,P_selected,BOA,0.050492206182703295,BUY,0.262193527426174,0.262193527426174,0.262193527426174,2797790.9925,1.0,1,exclude,1,34,30,0.417556,0.010116,0.9975,ok,0.00440110348954037,0.9783585866557365,0.9998564011297354,30,0.02472670484122852,0.0012485058790621581,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-04,2024-04-30,P_selected,SMI,0.029802746130496705,BUY,0.33732764991759073,0.33732764991759073,0.33732764991759073,661098.2,0.9986107086157655,1,exclude,1,34,30,0.417556,0.010116,0.9975,ok,0.00440110348954037,0.9783585866557365,0.9998564011297354,30,0.3566986998304127,0.010630600796124037,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-04,2024-04-30,P_selected,SOT,0.027296075178035305,NEUTRAL,0.038255744492264224,0.038255744492264224,0.019127872246132112,1154984.31,0.9999994853349183,1,exclude,1,34,30,0.417556,0.010116,0.9975,ok,0.00440110348954037,0.9783585866557365,0.9998564011297354,30,0.048879837067209886,0.0013342277072766779,1,500000.0,2023-01_2025-06
