month,decision_date,holding_end_date,holding_period,gross_return,transaction_cost,net_return,turnover,portfolio_alpha,portfolio_cvar,portfolio_liquidity,n_positions,n_days,n_SELL,sum_weights
2024-04,2024-04-30,2024-05-31,(after 2024-04-30] → 2024-05-31,-0.00364460267957023,0.0019025701853590672,-0.005535102851671692,0.6341900617863557,0.909379,0.01043,0.9998,27,21,0,1.0000000000000002
2024-05,2024-05-31,2024-06-28,(after 2024-05-31] → 2024-06-28,-0.008031868137843068,0.002371050813171322,-0.010399618005063171,0.7903502710571073,0.921932,0.010586,0.9999,34,17,0,1.0
2024-06,2024-06-28,2024-07-31,(after 2024-06-28] → 2024-07-31,0.11728754743850289,0.0017003402708186115,0.11537313966595186,0.5667800902728705,0.91917,0.010516,1.0,29,22,0,1.0
2024-07,2024-07-31,2024-08-30,(after 2024-07-31] → 2024-08-30,0.024730353652946402,0.0012476007059738327,0.023452034084316065,0.41586690199127757,1.023573,0.009421,0.9999,20,18,0,1.0
2024-08,2024-08-30,2024-09-30,(after 2024-08-30] → 2024-09-30,0.0608128777328818,0.0024891919597436604,0.05816277501690137,0.8297306532478865,1.039787,0.012002,0.9997,27,18,0,1.0000000000000004
2024-09,2024-09-30,2024-10-31,(after 2024-09-30] → 2024-10-31,0.0048747862917308815,0.002855951210178239,0.001979015343171131,0.9519837367260796,0.442153,0.010638,0.9996,27,22,0,0.9999999999999998
2024-10,2024-10-31,2024-11-29,(after 2024-10-31] → 2024-11-29,0.008901418640846925,0.003067384070143971,0.00580052046049806,1.022461356714657,0.829367,0.011783,1.0,20,18,0,0.9999999999999999
2024-11,2024-11-29,2024-12-31,(after 2024-11-29] → 2024-12-31,0.028897693525090196,0.002852480302219969,0.025968123687703182,0.9508267674066563,0.995736,0.01074,0.9993,24,21,0,0.9999999999999998
2024-12,2024-12-31,2025-01-31,(after 2024-12-31] → 2025-01-31,0.03046750595113701,0.003132552314808455,0.027269370355001987,1.0441841049361515,1.140592,0.009859,0.9998,26,20,0,0.9999999999999998
2025-01,2025-01-31,2025-02-28,(after 2025-01-31] → 2025-02-28,0.004548264725524165,0.003987053306722512,0.0005455922887203091,1.329017768907504,0.656148,0.009195,0.9997,31,19,0,0.9999999999999999
2025-02,2025-02-28,2025-03-28,(after 2025-02-28] → 2025-03-28,0.06661614935505833,0.0034841313741165287,0.06288797792444911,1.1613771247055094,0.573678,0.00975,1.0,26,19,0,1.0
2025-03,2025-03-28,2025-04-30,(after 2025-03-28] → 2025-04-30,0.011366859795545414,0.003505830471004214,0.007841571987984075,1.1686101570014047,0.538861,0.007815,1.0,32,21,0,1.0
2025-04,2025-04-30,2025-05-30,(after 2025-04-30] → 2025-05-30,0.020000190546390906,0.003358232509116516,0.016546701005943243,1.1194108363721722,0.509006,0.01184,0.9997,29,20,0,0.9999999999999998
2025-05,2025-05-30,2025-06-30,(after 2025-05-30] → 2025-06-30,0.05961882990755507,0.0021664209211619003,0.057333868577915226,0.7221403070539667,0.551374,0.01232,1.0,32,18,0,1.0000000000000002
2025-06,2025-06-30,2026-05-18,(after 2025-06-30] → last price,-0.00530972157625853,0.0020119947772887694,-0.007279753746524453,0.6706649257629231,0.431613,0.012146,0.9999,27,189,0,0.9999999999999996
