sell_mode,cell,configuration,mois,date_rebalance,n_titres,poids_moyen,poids_max,n_BUY,n_NEUTRAL,n_SELL,w_BUY,w_NEUTRAL,w_SELL,liquidity_obj,cvar_obj,expected_alpha_raw
exclude,2,C2 Ridge + régime,2018-09,2018-09-28,31,0.032254963317517385,0.2763286385998129,15,16,0,0.5969903066491753,0.40291355619386365,0.0,0.0,0.007593,0.126587
exclude,2,C2 Ridge + régime,2018-10,2018-10-31,24,0.04165998128718413,0.4,6,18,0,0.5841361807507818,0.41570337014163733,0.0,0.0,0.007921,0.272274
exclude,2,C2 Ridge + régime,2018-11,2018-11-30,24,0.041662511107869366,0.3049419405169549,10,14,0,0.5885432760642556,0.4113569905246093,0.0,0.0,0.007884,0.231514
exclude,2,C2 Ridge + régime,2018-12,2018-12-31,36,0.027774177272511462,0.15645142012077984,18,18,0,0.903814711104162,0.09605567070625066,0.0,0.0,0.007111,0.339863
exclude,2,C2 Ridge + régime,2019-01,2019-01-31,36,0.027774324582366557,0.19763691433256952,27,9,0,0.9873168186811643,0.012558866284031632,0.0,0.0,0.007988,0.374218
exclude,2,C2 Ridge + régime,2019-02,2019-02-28,29,0.034477288640632535,0.2635646793492608,23,6,0,0.9444407756828965,0.055400594895446915,0.0,0.0,0.007527,0.3649
exclude,2,C2 Ridge + régime,2019-03,2019-03-29,36,0.02777416208085673,0.3893226111719955,29,7,0,0.9819507787055751,0.017919056205267,0.0,0.0,0.006414,0.337599
exclude,2,C2 Ridge + régime,2019-04,2019-04-30,37,0.02701898970154727,0.3505703166464898,35,2,0,0.9993376582820318,0.0003649606752170444,0.0,0.0,0.006321,0.330455
exclude,2,C2 Ridge + régime,2019-05,2019-05-31,28,0.03570938365399807,0.14782331842799118,15,13,0,0.5195891566269598,0.4802735856849861,0.0,0.0,0.007448,0.198743
exclude,2,C2 Ridge + régime,2019-06,2019-06-28,37,0.02702395693882023,0.1313437259849775,28,9,0,0.6736338972058583,0.32625250953049023,0.0,0.0,0.006655,0.275948
exclude,2,C2 Ridge + régime,2019-07,2019-07-31,39,0.02563789803537098,0.13221508543434127,35,4,0,0.9782909689393791,0.02158705444008901,0.0,0.0,0.005689,0.397011
exclude,2,C2 Ridge + régime,2019-08,2019-08-30,33,0.030300747907680954,0.14419416269052465,21,12,0,0.7927255707416921,0.20719911021177928,0.0,0.0,0.006342,0.229708
exclude,2,C2 Ridge + régime,2019-09,2019-09-30,35,0.028570516719793014,0.15704910059517885,29,6,0,0.9407614058604712,0.05920667933228433,0.0,0.0,0.005738,0.327679
exclude,2,C2 Ridge + régime,2019-10,2019-10-31,33,0.030297458972712108,0.10765444203756522,28,5,0,0.974955462743314,0.024860683356185572,0.0,0.0,0.006737,0.256151
exclude,2,C2 Ridge + régime,2019-11,2019-11-29,34,0.029406971701870132,0.10771542898222149,31,3,0,0.9902663322554555,0.009570705608129088,0.0,0.0,0.007595,0.293556
exclude,2,C2 Ridge + régime,2019-12,2019-12-31,39,0.025633539624126567,0.13637806232327299,36,3,0,0.9524627567834545,0.047245288557481446,0.0,0.0,0.006504,0.44741
exclude,2,C2 Ridge + régime,2020-01,2020-01-31,40,0.024997168752669396,0.09991275191011782,35,5,0,0.9835985007580339,0.01628824934874187,0.0,0.0,0.005463,0.42906
exclude,2,C2 Ridge + régime,2020-02,2020-02-28,39,0.025637689213255634,0.10178214474169614,24,15,0,0.7699348241488335,0.22993505516813598,0.0,0.0,0.006591,0.213236
exclude,2,C2 Ridge + régime,2020-03,2020-03-31,18,0.05554016508383534,0.22602583753618224,10,8,0,0.6795720123640718,0.32015095914496433,0.0,0.0,0.013499,0.194866
exclude,2,C2 Ridge + régime,2020-04,2020-04-30,18,0.055545320247026166,0.32945698753638825,9,9,0,0.979868254303645,0.019947510142826173,0.0,0.0,0.012866,0.241956
exclude,2,C2 Ridge + régime,2020-05,2020-05-29,25,0.0399872027532272,0.17039120092509819,15,10,0,0.9448176478269487,0.05486242100373129,0.0,0.0,0.011235,0.36384
exclude,2,C2 Ridge + régime,2020-06,2020-06-30,32,0.031243386475819812,0.23227501901971345,30,2,0,0.9992154442006164,0.0005729230256176477,0.0,0.0,0.008192,0.536691
exclude,2,C2 Ridge + régime,2020-07,2020-07-29,26,0.03844764711727035,0.13139830679562153,17,9,0,0.8904128722872404,0.10922595276178865,0.0,0.0,0.006066,0.330191
exclude,2,C2 Ridge + régime,2020-08,2020-08-31,26,0.03845473698655684,0.35423933982858896,20,6,0,0.986031605650207,0.013791556000270768,0.0,0.0,0.006987,0.335478
exclude,2,C2 Ridge + régime,2020-09,2020-09-30,29,0.03447443052331495,0.35221004070245626,13,16,0,0.9081920772569719,0.09156640791916174,0.0,0.0,0.007704,0.937436
exclude,2,C2 Ridge + régime,2020-10,2020-10-28,22,0.04544784155855105,0.3256582577879288,9,13,0,0.5920813802457876,0.40777113404233545,0.0,0.0,0.007725,0.84969
exclude,2,C2 Ridge + régime,2020-11,2020-11-30,31,0.03224843354954784,0.1626962685112709,21,10,0,0.8150768348139829,0.1846246052220002,0.0,0.0,0.009709,0.325707
exclude,2,C2 Ridge + régime,2020-12,2020-12-31,24,0.04165059856007822,0.20565777693917406,16,8,0,0.8429915703869535,0.15662279505492388,0.0,0.0,0.006598,0.743116
exclude,2,C2 Ridge + régime,2021-01,2021-01-29,45,0.02222049742261116,0.20361607617803046,36,9,0,0.9653740824194311,0.034548301598071145,0.0,0.0,0.01394,0.390203
exclude,2,C2 Ridge + régime,2021-02,2021-02-26,32,0.031239768468404747,0.2635262035179062,12,20,0,0.6086460663528157,0.39102652463613624,0.0,0.0,0.012431,0.203321
exclude,2,C2 Ridge + régime,2021-03,2021-03-31,33,0.030295364712275608,0.4,11,22,0,0.4368901826001774,0.5628568529049177,0.0,0.0,0.010458,0.195468
exclude,2,C2 Ridge + régime,2021-04,2021-04-30,35,0.028566155773746917,0.17202830749535103,15,20,0,0.6998694583915226,0.29994599368961966,0.0,0.0,0.009997,0.187886
exclude,2,C2 Ridge + régime,2021-05,2021-05-31,35,0.028567600284114585,0.4,26,9,0,0.9482537738650995,0.05161223607891082,0.0,0.0,0.006058,0.391256
exclude,2,C2 Ridge + régime,2021-06,2021-06-30,38,0.026309271762391218,0.2547443601494719,30,8,0,0.9629162018835813,0.036836125087284906,0.0,0.0,0.005686,0.328878
exclude,2,C2 Ridge + régime,2021-07,2021-07-29,27,0.03702971595965808,0.39925008132644596,9,18,0,0.7531903103814619,0.24661202052930623,0.0,0.0,0.011555,0.309186
