month,decision_date,net_return,gross_return,turnover,transaction_cost,n_positions,liquidity_L,n_days,portfolio_alpha,portfolio_cvar,portfolio_liquidity,date_rebalance,regime_market,wealth100_net,cell,selection_method
2023-12,2023-12-29,0.0673470696401654,0.0703560915832595,0.945522154020738,0.0028365664620622,50,0.885687053845464,21,0.23065,0.010917,0.8857,2023-12-29,neutral,125.41022634030621,C2,knee_utopia_distance
2024-01,2024-01-31,0.0442237646624108,0.0480905763690349,1.2266484000108644,0.0036799452000325,47,0.7822018350766794,20,0.290783,0.010425,0.7822,2024-01-31,neutral,130.9563386762396,C2,knee_utopia_distance
2024-02,2024-02-29,0.0272202589434316,0.0303620808838587,1.015614263146568,0.0030468427894397,42,0.8708777627410247,20,0.315232,0.011707,0.8707,2024-02-29,bull,134.52100412529055,C2,knee_utopia_distance
2024-03,2024-03-29,0.0657429091054848,0.0695739852555741,1.2100394393577092,0.0036301183180731,44,0.7781268251969918,19,0.300504,0.008923,0.7781,2024-03-29,neutral,143.3648062722781,C2,knee_utopia_distance
2024-04,2024-04-30,0.0005230178719985,0.0032553518061124,0.9110709405672324,0.0027332128217016,43,0.8550949802852822,21,0.317936,0.010062,0.855,2024-04-30,bull,143.4397886281741,C2,knee_utopia_distance
2024-05,2024-05-31,-0.0139275125642445,-0.0114410001217399,0.8335366550808998,0.0025006099652426,49,0.708330561416982,17,0.250292,0.009105,0.7083,2024-05-31,neutral,141.44202916984264,C2,knee_utopia_distance
2024-06,2024-06-28,0.0817460165133299,0.0841388369648463,0.7358496563507837,0.0022075489690523,46,0.8188897794074551,22,0.29436,0.010437,0.8188,2024-06-28,neutral,153.00435162203948,C2,knee_utopia_distance
2024-07,2024-07-31,0.0308477058409126,0.0331382695896167,0.7382784180040494,0.0022148352540121,42,0.860444039879059,18,0.369322,0.008779,0.8604,2024-07-31,neutral,157.72418485325574,C2,knee_utopia_distance
2024-08,2024-08-30,0.0402026510331945,0.04354849868169,1.0685176224773645,0.003205552867432,46,0.8673495701168474,18,0.320484,0.010172,0.8672,2024-08-30,neutral,164.06511521640624,C2,knee_utopia_distance
2024-09,2024-09-30,0.0002455017551623,0.0032467879112061,0.9910455243664748,0.0029731365730994,46,0.8138005358571045,22,0.410087,0.009052,0.8138,2024-09-30,neutral,164.10539349015278,C2,knee_utopia_distance
2024-10,2024-10-31,0.0193808358871276,0.0226281185688796,1.0649726080322734,0.0031949178240968,42,0.8081908936614354,18,0.428318,0.011447,0.8081,2024-10-31,neutral,167.28589318957793,C2,knee_utopia_distance
2024-11,2024-11-29,0.0205083432576991,0.0234371755566986,0.95759058550353,0.0028727717565105,44,0.8826082822611232,21,0.406035,0.009574,0.8825,2024-11-29,neutral,170.7166497092806,C2,knee_utopia_distance
2024-12,2024-12-31,0.0504821838830027,0.053117087015631,0.8414971596731374,0.0025244914790194,43,0.8387917427935286,20,0.387282,0.008957,0.8387,2024-12-31,neutral,179.33479901179467,C2,knee_utopia_distance
2025-01,2025-01-31,0.0292445497884932,0.0317959082048933,0.8274862413215178,0.0024824587239645,42,0.9535669422838562,19,0.300097,0.008303,0.9536,2025-01-31,bull,184.57936447030454,C2,knee_utopia_distance
2025-02,2025-02-28,0.0618021424220074,0.0642000475470034,0.7482952785541216,0.0022448858356623,46,0.9303809065139186,19,0.315695,0.007932,0.9304,2025-02-28,bull,195.98676464146192,C2,knee_utopia_distance
2025-03,2025-03-28,0.0212438909074612,0.0239276215474282,0.8790823443229178,0.0026372470329687,36,0.9514946162342436,21,0.39135,0.006789,0.9514,2025-03-28,bull,200.1502860888114,C2,knee_utopia_distance
2025-04,2025-04-30,-0.0015912619547221,0.0013175759177783,0.9635744858682296,0.0028907234576046,39,0.9629720973891932,20,0.272374,0.010572,0.963,2025-04-30,neutral,199.83179455333152,C2,knee_utopia_distance
2025-05,2025-05-30,0.0454488313260295,0.0481031496710138,0.8448762608024957,0.0025346287824074,38,0.8598855743618445,18,0.249731,0.010604,0.8598,2025-05-30,neutral,208.91391607756367,C2,knee_utopia_distance
2025-06,2025-06-30,-0.0317667120197564,-0.0291148101721555,0.9340613231178628,0.0028021839693535,36,0.9769857082511828,21,0.343706,0.010489,0.977,2025-06-30,neutral,202.27740786860812,C2,knee_utopia_distance
